match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_cross,pass_cut_back,pass_switch,pass_deflected,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
8658,France,Nabil Fekir,Steven N''Kemboanza Mike Christopher Nzonzi,88,48,2,"[75.0, 77.0]","[81.0, 67.0]",11.661903,-1.0303768,Ground Pass,,,,,,,,,,True,From Goal Kick
8658,France,Steven N''Kemboanza Mike Christopher Nzonzi,Nabil Fekir,88,50,2,"[86.0, 69.0]","[105.0, 78.0]",21.023796,0.44237423,Ground Pass,,,,,,,,,,,From Goal Kick
8658,France,Lucas Hernández Pi,,89,6,2,"[58.0, 27.0]","[81.0, 12.0]",27.45906,-0.57790196,High Pass,Recovery,,,,,Incomplete,,,,,Regular Play
8658,France,Samuel Yves Umtiti,Lucas Hernández Pi,90,8,2,"[25.0, 24.0]","[38.0, 8.0]",20.615528,-0.88847977,Ground Pass,Recovery,,,,,,,,,,Regular Play
8658,France,Lucas Hernández Pi,Steven N''Kemboanza Mike Christopher Nzonzi,90,9,2,"[38.0, 8.0]","[35.0, 23.0]",15.297058,1.7681919,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Steven N''Kemboanza Mike Christopher Nzonzi,Antoine Griezmann,90,11,2,"[37.0, 24.0]","[45.0, 27.0]",8.5440035,0.35877067,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Antoine Griezmann,Corentin Tolisso,90,13,2,"[48.0, 19.0]","[65.0, 3.0]",23.345236,-0.7551044,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Antoine Griezmann,Lucas Hernández Pi,90,34,2,"[65.0, 3.0]","[64.0, 4.0]",1.4142135,2.3561945,Ground Pass,Free Kick,,,,,Incomplete,,,,,From Free Kick
8658,France,Lucas Hernández Pi,Antoine Griezmann,90,48,2,"[66.0, 2.0]","[83.0, 4.0]",17.117243,0.11710875,Low Pass,Throw-in,,,,,,,,,,From Throw In
8658,France,Kylian Mbappé Lottin,Paul Pogba,91,10,2,"[86.0, 53.0]","[108.0, 61.0]",23.409399,0.348771,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Lucas Hernández Pi,Antoine Griezmann,91,29,2,"[41.0, 3.0]","[56.0, 4.0]",15.033297,0.066568166,Ground Pass,,,,,,,,,,,Regular Play
8658,France,Kylian Mbappé Lottin,Paul Pogba,92,30,2,"[102.0, 3.0]","[109.0, 44.0]",41.59327,1.4016951,High Pass,Free Kick,True,,True,,Incomplete,,,,,From Free Kick
8658,France,Corentin Tolisso,Kylian Mbappé Lottin,92,41,2,"[79.0, 11.0]","[95.0, 5.0]",17.088007,-0.35877067,Ground Pass,Recovery,,,,,Incomplete,,,,,Regular Play
8658,France,Raphaël Varane,,92,47,2,"[35.0, 49.0]","[51.0, 47.0]",16.124516,-0.124354996,High Pass,Recovery,,,,,Incomplete,,,,,Regular Play
8658,France,Steven N''Kemboanza Mike Christopher Nzonzi,Antoine Griezmann,92,51,2,"[34.0, 47.0]","[36.0, 42.0]",5.3851647,-1.19029,Low Pass,Recovery,,,,,,,,,,Regular Play
8658,France,Benjamin Pavard,,93,10,2,"[15.0, 79.0]","[63.0, 79.0]",48.0,0.0,High Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,Nabil Fekir,Kylian Mbappé Lottin,94,16,2,"[70.0, 58.0]","[97.0, 66.0]",28.160255,0.28805545,High Pass,,,,,,Incomplete,,,,,Regular Play
8658,France,Raphaël Varane,,94,27,2,"[31.0, 61.0]","[68.0, 80.0]",41.59327,0.4743999,High Pass,,,,,,Out,,,,,Regular Play
8658,France,Hugo Lloris,,95,1,2,"[18.0, 31.0]","[52.0, 25.0]",34.525352,-0.1746722,High Pass,,,,,,Unknown,,,,,From Keeper
