match_id,team,player,pass_recipient,minute,second,period,location,pass_end_location,pass_length,pass_angle,pass_height,pass_type,pass_cross,pass_switch,pass_outcome,pass_shot_assist,pass_goal_assist,pass_assisted_shot_id,under_pressure,play_pattern
8655,France,Hugo Lloris,Olivier Giroud,83,19,2,"[18.0, 30.0]","[80.0, 12.0]",64.56005,-0.28255495,High Pass,,,,,,,,,Regular Play
8655,France,Olivier Giroud,Blaise Matuidi,83,23,2,"[80.0, 12.0]","[69.0, 16.0]",11.7046995,2.7928216,Ground Pass,,,,Incomplete,,,,,Regular Play
8655,France,Hugo Lloris,,84,31,2,"[6.0, 38.0]","[88.0, 25.0]",83.02409,-0.15722805,High Pass,Goal Kick,,,Incomplete,,,,,From Goal Kick
8655,France,Steven N''Kemboanza Mike Christopher Nzonzi,N''Golo Kanté,84,42,2,"[57.0, 31.0]","[64.0, 27.0]",8.062258,-0.5191461,Low Pass,Recovery,,,,,,,,From Goal Kick
8655,France,N''Golo Kanté,,84,43,2,"[64.0, 27.0]","[59.0, 1.0]",26.476404,-1.7607846,Low Pass,,,,Out,,,,,From Goal Kick
8655,France,Kylian Mbappé Lottin,,86,21,2,"[20.0, 60.0]","[46.0, 54.0]",26.683329,-0.22679885,High Pass,Recovery,,,Incomplete,,,,,Regular Play
8655,France,N''Golo Kanté,Kylian Mbappé Lottin,86,38,2,"[24.0, 69.0]","[26.0, 78.0]",9.219544,1.3521274,Ground Pass,Recovery,,,,,,,,Regular Play
8655,France,Kylian Mbappé Lottin,,87,52,2,"[9.0, 58.0]","[53.0, 79.0]",48.754486,0.44530106,High Pass,,,,Incomplete,,,,,From Free Kick
8655,France,Lucas Hernández Pi,Paul Pogba,89,41,2,"[18.0, 2.0]","[57.0, 3.0]",39.012817,0.025635408,High Pass,Throw-in,,,,,,,,From Throw In
8655,France,Benjamin Pavard,Antoine Griezmann,89,51,2,"[47.0, 73.0]","[103.0, 71.0]",56.0357,-0.035699114,High Pass,Recovery,,,,,,,,From Throw In
8655,France,Antoine Griezmann,Kylian Mbappé Lottin,89,58,2,"[109.0, 79.0]","[86.0, 78.0]",23.021729,-3.0981417,Ground Pass,,,,,,,,,From Throw In
8655,France,Kylian Mbappé Lottin,Paul Pogba,90,1,2,"[86.0, 77.0]","[90.0, 58.0]",19.416489,-1.3633001,Ground Pass,,,,,,,,,From Throw In
8655,France,Paul Pogba,N''Golo Kanté,90,4,2,"[85.0, 59.0]","[75.0, 51.0]",12.806249,-2.4668517,Ground Pass,,,,,,,,True,From Throw In
8655,France,N''Golo Kanté,Corentin Tolisso,90,5,2,"[75.0, 51.0]","[73.0, 34.0]",17.117243,-1.6879051,Ground Pass,,,,,,,,,From Throw In
8655,France,Corentin Tolisso,Lucas Hernández Pi,90,7,2,"[75.0, 31.0]","[89.0, 4.0]",30.413813,-1.092444,Ground Pass,,,,,,,,,From Throw In
8655,France,Lucas Hernández Pi,Paul Pogba,90,12,2,"[89.0, 4.0]","[96.0, 19.0]",16.552946,1.1341692,Ground Pass,,,,Incomplete,,,,,From Throw In
8655,France,Antoine Griezmann,Kylian Mbappé Lottin,91,18,2,"[111.0, 3.0]","[112.0, 4.0]",1.4142135,0.7853982,Ground Pass,Free Kick,,,,,,,,From Free Kick
8655,France,Antoine Griezmann,Kylian Mbappé Lottin,91,38,2,"[104.0, 1.0]","[113.0, 4.0]",9.486833,0.32175055,Low Pass,Throw-in,,,,,,,,From Throw In
8655,France,N''Golo Kanté,Paul Pogba,92,17,2,"[86.0, 5.0]","[98.0, 18.0]",17.691807,0.82537687,High Pass,Recovery,,,,,,,,Regular Play
8655,France,Paul Pogba,Antoine Griezmann,92,20,2,"[99.0, 19.0]","[103.0, 45.0]",26.305893,1.418147,Ground Pass,,,,,True,,9dbbde84-a08c-40d8-a141-4dc713471dc8,,Regular Play
8655,France,Kylian Mbappé Lottin,Corentin Tolisso,92,54,2,"[89.0, 31.0]","[100.0, 27.0]",11.7046995,-0.348771,Ground Pass,,,,,,,,,From Counter
8655,France,Corentin Tolisso,Kylian Mbappé Lottin,92,56,2,"[100.0, 27.0]","[98.0, 35.0]",8.246211,1.815775,Ground Pass,,,,,,,,,From Counter
8655,France,Raphaël Varane,Kylian Mbappé Lottin,93,23,2,"[16.0, 49.0]","[66.0, 79.0]",58.30952,0.5404195,Low Pass,,,,,,,,,Regular Play
8655,France,Kylian Mbappé Lottin,Steven N''Kemboanza Mike Christopher Nzonzi,93,31,2,"[78.0, 77.0]","[64.0, 77.0]",14.0,3.1415927,Ground Pass,,,,Unknown,,,,,Regular Play
8655,France,Antoine Griezmann,Benjamin Pavard,94,10,2,"[75.0, 77.0]","[59.0, 78.0]",16.03122,3.0791738,Ground Pass,Free Kick,,,,,,,,From Free Kick
8655,France,Benjamin Pavard,Raphaël Varane,94,12,2,"[57.0, 77.0]","[45.0, 68.0]",15.0,-2.4980915,Ground Pass,,,,,,,,,From Free Kick
8655,France,Raphaël Varane,,94,16,2,"[42.0, 64.0]","[89.0, 75.0]",48.270073,0.22990443,High Pass,,,,Incomplete,,,,,From Free Kick
8655,France,Raphaël Varane,,94,31,2,"[30.0, 41.0]","[52.0, 21.0]",29.732138,-0.7378151,Low Pass,Recovery,,,Incomplete,,,,,Regular Play
8655,France,Raphaël Varane,Antoine Griezmann,94,35,2,"[25.0, 46.0]","[51.0, 46.0]",26.0,0.0,High Pass,Recovery,,,,,,,,Regular Play
8655,France,Antoine Griezmann,Kylian Mbappé Lottin,94,43,2,"[70.0, 77.0]","[76.0, 79.0]",6.3245554,0.32175055,Ground Pass,,,,,,,,True,Regular Play
8655,France,Benjamin Pavard,Paul Pogba,95,8,2,"[75.0, 80.0]","[82.0, 76.0]",8.062258,-0.5191461,Low Pass,Throw-in,,,,,,,,From Throw In
8655,France,Paul Pogba,Antoine Griezmann,95,9,2,"[82.0, 76.0]","[88.0, 76.0]",6.0,0.0,High Pass,,,,,,,,,From Throw In
8655,France,Antoine Griezmann,Paul Pogba,95,10,2,"[88.0, 77.0]","[82.0, 70.0]",9.219544,-2.2794225,Ground Pass,,,,,,,,,From Throw In
8655,France,Paul Pogba,Corentin Tolisso,95,14,2,"[93.0, 51.0]","[102.0, 30.0]",22.847319,-1.1659045,Ground Pass,,,,,True,,bb334b14-b91b-491e-a590-3493f4013bdc,,From Throw In
8655,France,Benjamin Pavard,Paul Pogba,95,55,2,"[119.0, 80.0]","[118.0, 79.0]",1.4142135,-2.3561945,Ground Pass,Corner,,,,,,,,From Corner
